Datum;Uhrzeit;NO3;NO2;Temperatur;SECCI;Salinität;NOx
05.10.1993;;0.13422499999999998;0.18288;14.05000238095238;;32;
06.10.1993;;0.17622499999999997;0.19408;13.94909523809524;;32;
07.10.1993;;0.23274999999999996;0.21008;13.847358333333332;;32;
08.10.1993;;0.30379999999999996;0.2308799999999999;13.744791666666668;;32;
09.10.1993;;0.39363333333333334;0.24944;13.625579166666668;;32;
10.10.1993;;0.5022499999999999;0.26576;13.489720833333331;;32;
11.10.1993;;0.6296499999999999;0.27984;13.334396825396825;;32;
12.10.1993;;0.7566999999999999;0.29168;13.15960714285714;;32;
13.10.1993;;0.8834;0.3002933333333333;13.008630952380951;;32;
14.10.1993;;1.00975;0.30568;12.881468253968254;;32;
15.10.1993;;1.1314333333333333;0.30784;12.778119047619048;;32;
16.10.1993;;1.2573666666666667;0.3067733333333333;12.669825;;32;
17.10.1993;;1.3875499999999998;0.3054933333333334;12.556586111111113;;32;
18.10.1993;;1.527;0.304;12.43840238095238;;32;
19.10.1993;;1.6757166666666667;0.3022933333333333;12.31527380952381;;32;
20.10.1993;;1.8336999999999999;0.30032;12.20679761904762;;32;
21.10.1993;;2.00095;0.29808;12.11297380952381;;32;
22.10.1993;;2.1758333333333333;0.2955733333333333;12.03380238095238;;32;
23.10.1993;;2.3583499999999997;0.2928;11.952519444444444;;32;
24.10.1993;;2.5485;0.2952533333333333;11.869125;;32;
25.10.1993;;2.7326916666666663;0.3029333333333333;11.783619047619048;;32;
26.10.1993;;2.9109249999999998;0.31584;11.696001587301586;;32;
27.10.1993;;3.0832;0.3278399999999999;11.5866753968254;;32;
28.10.1993;;3.249516666666666;0.3389333333333333;11.455640476190476;;32;
29.10.1993;;3.405616666666667;0.34912;11.302896825396823;;32;
30.10.1993;;3.5514999999999994;0.3584;11.150166666666667;;32;
31.10.1993;;3.6871666666666663;0.3630933333333334;10.99745;;32;
01.11.1993;;3.83175;0.3632000000000001;10.847094444444446;;32;
02.11.1993;;3.98525;0.35872;10.6991;;32;
03.11.1993;;4.147666666666666;0.35936;10.551577777777778;;32;
04.11.1993;;4.319;0.36512;10.4069125;;32;
05.11.1993;;4.490333333333333;0.376;10.265104166666667;;32;
06.11.1993;;4.666283333333333;0.38808;10.125208333333331;;32;
07.11.1993;;4.84685;0.3989066666666667;9.987225;;32;
08.11.1993;;5.032033333333333;0.40848;9.852075;;32;
09.11.1993;;5.138475;0.4168;9.719758333333331;;32;
10.11.1993;;5.166174999999999;0.4236266666666666;9.593094841269842;;32;
11.11.1993;;5.1151333333333335;0.42896;9.471659523809524;;32;
12.11.1993;;4.9853499999999995;0.4328000000000001;9.355452380952382;;32;
13.11.1993;;4.927033333333333;0.4362666666666667;9.244473412698412;;32;
14.11.1993;;4.940183333333333;0.43936;9.138722619047618;;32;
15.11.1993;;5.024800000000001;0.44208;9.035130555555556;;32;
16.11.1993;;5.075125;0.4444266666666667;8.933697222222222;;32;
17.11.1993;;5.0911583333333335;0.44848;8.834422619047618;;32;
18.11.1993;;5.072900000000001;0.45424;8.737117857142856;;32;
19.11.1993;;5.02035;0.4617066666666667;8.641782936507937;;32;
20.11.1993;;4.954216666666666;0.4688;8.548417857142859;;32;
21.11.1993;;4.8745;0.47552;8.45702261904762;;32;
22.11.1993;;4.7812;0.4818666666666667;8.363913888888888;;32;
23.11.1993;;4.723783333333333;0.48784;8.269091666666666;;32;
24.11.1993;;4.702249999999999;0.4933866666666667;8.172555952380954;;32;
